Date,Open,High,Low,Close,Adj Close,Volume
5/29/16,12.28,12.76,12.03,12.48,12.48,1065248
5/30/16,12.48,14.28,12.43,13.85,13.85,3515815
5/31/16,13.85,14.26,13.4,13.83,13.83,2302485
6/1/16,13.83,14.08,13.62,13.78,13.78,1184334
6/2/16,13.78,14.32,13.17,13.78,13.78,1686482
6/3/16,13.78,13.91,13.33,13.66,13.66,1165878
6/4/16,13.66,13.9,13.49,13.85,13.85,576616
6/5/16,13.85,14.04,13.71,13.96,13.96,913782
6/6/16,13.96,14.55,13.77,14.41,14.41,1831555
6/7/16,14.41,14.76,14.3,14.44,14.44,2132214
6/8/16,14.44,14.73,14.37,14.49,14.49,692699
6/9/16,14.49,14.52,13.74,13.97,13.97,1773836
6/10/16,13.97,14.17,13.76,14.01,14.01,799325
6/11/16,14.01,15.6,13.91,15.57,15.57,4346663
6/12/16,15.57,17.6,15.33,17.549999,17.549999,7459518
6/13/16,17.549999,19.17,16.34,18.700001,18.700001,11077976
6/14/16,18.700001,18.790001,17.51,18.299999,18.299999,3960403
6/15/16,18.299999,21.35,18.209999,20.610001,20.610001,10598002
6/16/16,20.610001,21.389999,13.44,15.49,15.49,38835782
6/17/16,15.49,15.53,9.94,11.36,11.36,20282268
6/18/16,11.36,13.53,10.55,12.33,12.33,7516494
6/19/16,12.33,12.61,10.42,11.7,11.7,7368783
6/20/16,11.7,12.76,11.08,12.71,12.71,5196251
6/21/16,12.71,15.9,12.64,13.21,13.21,20239842
6/22/16,13.21,13.91,12.48,13.58,13.58,5979901
6/23/16,13.58,14.8,13.12,14.25,14.25,5307462
6/24/16,14.25,14.62,13.89,14.28,14.28,2233332
6/25/16,14.28,14.33,13.56,13.82,13.82,1615035
6/26/16,13.82,14.43,13.6,14.04,14.04,1241424
6/27/16,14.04,14.14,11.36,12.15,12.15,7059267
6/28/16,12.15,12.98,11.59,12.76,12.76,3155698
6/29/16,12.76,12.82,12.12,12.4,12.4,1682614
6/30/16,12.4,12.55,11.65,12.23,12.23,2146235
7/1/16,12.23,12.3,11.87,12.04,12.04,837313
7/2/16,12.04,12.15,11.56,11.85,11.85,1270392
